,sim time,network-level occupancy,ped_network_level_occupancy,avg link tt,avg delay,stable-def-region
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,247.89473684210526,0.0,0.0
2,15.0,10.753255207497396,71.53850790895059,247.89473684210526,0.0,0.7168836804998264
3,30.0,21.506510414994793,152.8603913205877,247.89473684210526,0.0,1.0753255207497396
4,45.0,32.259765622492175,229.8863217613643,247.89473684210526,0.0,1.4337673609996526
5,60.0,43.01302082998959,303.16356885299257,247.89473684210526,0.0,1.7922092012495658
6,75.0,53.766276037486975,374.03642980046686,247.89473684210526,0.0,2.150651041499479
7,90.0,63.15191802442338,446.67684423659097,255.88318111031464,7.988444268209332,2.493897179298714
8,105.0,75.27278645248175,518.5801144541048,247.89473684210526,0.0,2.854509834184438
9,120.0,86.02604165997916,587.3004168670358,248.1331965904389,0.23845974833369385,3.21457978541121
10,135.0,96.28335047055097,653.6586186574989,248.22218859375616,0.32745175165089996,3.5706142571844164
11,150.0,105.57251897154619,726.3207260783672,287.25362098049993,39.35888413839471,3.917369624609616
12,165.0,116.78463904027258,795.1501652122882,247.89473684210526,0.0,4.269030804434636
13,180.0,127.04168152944784,861.8869730091836,248.5212774535535,0.6265406114482406,4.61906535700646
14,195.0,136.59944372496417,926.9370859143263,249.69716669937202,1.8024298572667323,4.964262605057062
15,210.0,145.50837550306775,999.5992212449197,356.0266399603416,108.13190311823641,5.302569445186641
16,225.0,155.49945523398824,1067.549013655323,249.29024068573403,1.3955038436288187,5.640173505436369
17,240.0,164.8591755264473,1133.6843762623196,249.8347617381929,1.94002489608762,5.974575892706793
18,255.0,173.46847289297963,1198.3175421846418,250.42555633347024,2.530819491365036,6.303398773108274
19,270.0,182.06511663070887,1270.9796775612592,464.33920702904805,216.44447018694288,6.62752519916044
20,285.0,190.38045433021742,1338.6371552191008,250.76665066933492,2.8719138272296116,6.946709677556267
21,300.0,198.56459182126227,1404.565697389426,250.88190710039075,2.987170258285489,7.261256166415995
22,315.0,206.307426914618,1469.0514343194718,250.4329612925532,2.538224450447926,7.570426275680688
23,330.0,214.38465200730613,1541.713569696177,633.6894064312943,385.79466958918925,7.875966451050675
24,345.0,221.49243964217683,1609.265304456841,252.58228213541364,4.6875452933083555,8.17554019851855
25,360.0,228.68565793391178,1675.11761099726,252.94176535520972,5.047028513104386,8.470130628952255
26,375.0,235.26854868229157,1739.548145055893,255.10380593664732,7.209069094542061,8.758708200280276
27,390.0,243.1849350858105,1812.210280432599,800.960890870613,553.0661540285079,9.045385923566446
28,405.0,248.78423208715873,1879.721892018231,255.88909491040226,7.994358068296964,9.324653684637216
29,420.0,254.5927002283574,1945.5449403686457,258.1322568063321,10.237519964226815,9.59780343453912
30,435.0,260.36206290550047,2009.9540776817562,258.85736446829634,10.962627626191049,9.86537817336076
31,450.0,268.0151997047519,2082.6162130584585,945.7303422429579,697.8356054008526,10.132121566925962
32,465.0,272.4708264212338,2150.1121370676647,259.66479995304326,11.770063110937983,10.391237702232079
33,480.0,277.68419393179175,2215.9236574166084,265.2779108303908,17.38317398828556,10.645020261395226
34,495.0,282.9629769901747,2280.324306028683,299.3119106603343,51.417173818229095,10.894086267595725
35,510.0,290.57094116760715,2352.986441405393,1100.5235685147618,852.6288316726565,11.143418909073512
36,525.0,294.30189523938833,2420.4761031786325,258.02046726004136,10.125730417936053,11.385610550222628
37,540.0,299.02630443171137,2486.2829960886847,267.02939857898264,19.134661736877387,11.623096006108502
38,555.0,303.5109981718272,2550.680220136099,274.4664811124522,26.57174427034686,11.85582493958634
39,570.0,310.64399758557875,2623.3423555128043,1224.2402452889162,976.3455084468109,12.088819015887713
40,585.0,313.18782046064536,2690.829479466763,259.27040113263325,11.375664290527999,12.31421309319084
41,600.0,316.9827584898705,2756.634489379108,276.2339407448598,28.339203902754505,12.534662363344188
42,615.0,320.8840962878274,2821.0303147380478,291.47997083093145,43.58523398882622,12.750701649259089
43,630.0,328.09587528797607,2893.6924501147555,1329.5545382180712,1081.659801375966,12.967900618384627
44,645.0,329.5555201465495,2961.1785340832125,269.65618010336976,21.761443261264546,13.177260325161033
45,660.0,332.783838226863,3026.982770022501,271.1957951264788,23.30105828437352,13.381995072660196
46,675.0,336.00043517648,3091.3780189101017,283.50055362437024,35.6058167822649,13.582395826862534
47,690.0,343.1851861246409,3164.0401542868117,1445.7253998792794,1197.8306630371742,13.78449618732877
48,705.0,344.079321299087,3231.525808572944,260.0632975079671,12.168560665861849,13.979264809299202
49,720.0,346.43751137774456,3297.329724030705,273.2068181952732,25.312081353167855,14.169193336019003
50,735.0,349.6295050429401,3361.7247337437,271.54886089391425,23.654124051809053,14.355712526498806
51,750.0,356.8323656841243,3434.3868691204093,1560.4592333249452,1312.56449648284,14.544374763547662
52,765.0,357.61029693710594,3501.8723448164706,272.65309378759395,24.758356945488657,14.726655385095231
53,780.0,359.6008065596587,3567.6761268588643,293.5543174700308,45.65958062792559,14.904477148919884
54,795.0,362.17815206856704,3632.0710368617442,287.7281290906857,39.833392248580424,15.078830601542235
55,810.0,369.13787016685006,3704.733172238449,1639.2484692496619,1391.3537324075567,15.25531876344806
56,825.0,368.5449989970081,3772.2185733861943,263.8463540656312,15.951617223525913,15.42467054229083
57,840.0,370.27680832817487,3838.0222996735106,338.05303955331385,90.15830271120862,15.590035721092988
58,855.0,372.62187538626426,3902.417167964193,310.69564893143735,62.80091208933218,15.752341381408627
59,870.0,379.6052052803727,3975.079303340903,1761.0014594130087,1513.106722570903,15.917077110787067
