,sim time,network-level occupancy,ped_network_level_occupancy,avg link tt,avg delay,stable-def-region,avg ped link tt,avg ped delay
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,247.89473684210526,0.0,0.0,2283.1159420289855,0.0
2,15.0,8.333657986111112,71.53850790895059,247.89473684210526,0.0,0.5555771990740741,2290.978260869565,7.86231884057971
3,30.0,16.667315972222223,152.8603913205877,247.89473684210526,0.0,0.833365798611111,2298.3210569222647,15.205114893278243
4,45.0,25.000973958333336,229.8863217613643,247.89473684210526,0.0,1.1111543981481482,2305.8756015307417,22.759659501760837
5,60.0,33.33463194444444,303.16356885299257,247.89473684210526,0.0,1.388942997685185,2313.2773478085974,30.16140577961566
6,75.0,41.66828993055559,374.03642980046686,247.89473684210526,0.0,1.6667315972222225,2320.506904703817,37.390962674829574
7,90.0,48.94206227110953,446.67684423659097,255.88318111031464,7.98844426820933,1.9327436895864025,2322.01832412645,38.90238209746316
8,105.0,58.335605902777786,518.5801144541048,247.89473684210526,0.0,2.2122146472909905,2335.0587654846086,51.942823455621806
9,120.0,66.66926388888888,587.3004168670358,248.1331965904389,0.2384597483336929,2.491265015453691,2346.993818574107,63.877876545119854
10,135.0,74.6185687120117,653.6586186574989,248.22218859375616,0.32745175165090074,2.767187930121886,2354.6814157153967,71.56547368641007
11,150.0,81.81757513089377,726.3207260783672,287.25362098049993,39.3588841383947,3.0359196379823223,2344.2905511719296,61.174609142946544
12,165.0,90.50684848570371,795.1501652122882,247.89473684210526,0.0,3.3084532980791037,2365.7075050642047,82.59156303521921
13,180.0,98.4559469125874,861.8869730091836,248.5212774535535,0.6265406114482395,3.5797263394202194,2380.3450129317025,97.22907090271417
14,195.0,105.86311057726829,926.9370859143263,249.69716669937202,1.802429857266736,3.8472505213995274,2388.3744510740257,105.25850904503747
15,210.0,112.767437595244,999.5992212449197,356.0266399603416,108.13190311823638,4.109434710800723,2365.4608500232657,82.34490799427765
16,225.0,120.51041772384787,1067.549013655323,249.29024068573403,1.3955038436288192,4.371074253297777,2396.0388314858073,112.92288945682387
17,240.0,127.76410102791694,1133.6843762623196,249.8347617381929,1.9400248960876205,4.6302325334163195,2413.449940331356,130.33399830236658
18,255.0,134.43621457576467,1198.3175421846418,250.42555633347024,2.5308194913650337,4.885066755277182,2421.895873171272,138.77993114228323
19,270.0,141.0985216963777,1270.9796775612592,464.33920702904805,216.44447018694294,5.136261275155775,2386.2932414443585,103.17729941537385
20,285.0,147.54281964053934,1338.6371552191008,250.76665066933487,2.87191382722961,5.383625838359995,2426.2676711104364,143.15172908144697
21,300.0,153.8854388238099,1404.565697389426,250.88190710039075,2.987170258285488,5.627396009188028,2446.4720157383513,163.35607370936341
22,315.0,159.8860533601315,1469.0514343194718,250.4329612925532,2.5382244504479297,5.86699954322711,2455.35733840472,172.24139637573535
23,330.0,166.1458165760519,1541.713569696177,633.6894064312945,385.79466958918925,6.103789917250278,2407.006626893292,123.89068486430672
24,345.0,171.65427611169318,1609.265304456841,252.58228213541364,4.687545293308354,6.335956373345753,2456.459673426249,173.34373139726685
25,360.0,177.2289434943627,1675.11761099726,252.94176535520972,5.04702851310439,6.564260811940687,2479.4634581169585,196.34751608797484
26,375.0,182.33061354667242,1739.548145055893,255.10380593664732,7.209069094542061,6.7879053489208525,2488.7961785571383,205.68023652815222
27,390.0,188.4657284955699,1812.210280432599,800.9608908706131,553.0661540285079,7.010077523950999,2427.674832938993,144.55889091000768
28,405.0,192.8051238945891,1879.721892018231,255.88909491040226,7.994358068296965,7.226507057371552,2486.6375903681414,203.52164833915552
29,420.0,197.30662469392124,1945.5449403686457,258.1322568063321,10.237519964226818,7.438195197450952,2512.4430009702432,229.32705894125874
30,435.0,201.7778191760928,2009.9540776817562,258.85736446829634,10.962627626191056,7.645562763460902,2522.2261342577954,239.11019222881072
31,450.0,207.70891849208547,2082.6162130584585,945.7303422429577,697.8356054008527,7.852286045772395,2448.325223911069,165.20928188208495
32,465.0,211.1619816299389,2150.1121370676647,259.6647999530432,11.77006311093798,8.053098284360251,2516.8099410081327,233.69399897915036
33,480.0,215.20228579370524,2215.9236574166084,265.2779108303908,17.38317398828555,8.249777058377546,2545.417794984701,262.30185295571323
34,495.0,219.293286308672,2280.324306028683,299.3119106603343,51.417173818229095,8.442800554201806,2555.6525212311367,272.5365792021509
35,510.0,225.1893773250092,2352.986441405393,1100.523568514762,852.6288316726569,8.63603068951942,2468.96843749946,185.85249547047422
36,525.0,228.08082689968646,2420.4761031786325,258.02046726004136,10.125730417936055,8.823726625818267,2546.9800478544767,263.8641058254914
37,540.0,231.7421935868463,2486.2829960886847,267.02939857898264,19.134661736877387,9.007775318780437,2578.3906619512654,295.2747199222804
38,555.0,235.217783357702,2550.680220136099,274.4664811124522,26.57174427034687,9.188137757656104,2589.077453765378,305.9615117363929
39,570.0,240.7457817528197,2623.3423555128043,1224.2402452889164,976.3455084468112,9.368705679389398,2489.608719564277,206.49277753529586
40,585.0,242.717217323629,2690.829479466763,259.27040113263325,11.375664290527993,9.543383683035188,2577.1492381969665,294.0332961679784
41,600.0,245.65825378224466,2756.634489379108,276.2339407448598,28.339203902754512,9.714229513929718,2611.3627380711023,328.2467960421193
42,615.0,248.6817489257238,2821.0303147380478,291.47997083093145,43.58523398882621,9.8816576541196,2622.5017875993676,339.3858455703821
43,630.0,254.27080065926347,2893.6924501147555,1329.5545382180715,1081.6598013759663,10.049984536417172,2510.2477929888746,227.1318509598937
