,sim time,network-level occupancy,ped_network_level_occupancy,avg link tt,avg delay,stable-def-region,avg ped link tt,avg ped delay
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,247.89473684210526,0.0,0.0,2283.1159420289855,0.0
2,15.0,8.333657986111112,71.53850790895059,247.89473684210526,0.0,0.5555771990740741,2290.978260869565,7.86231884057971
3,30.0,16.667315972222223,152.8603913205877,247.89473684210526,0.0,0.833365798611111,2298.3210569222647,15.205114893278243
4,45.0,25.000973958333336,229.8863217613643,247.89473684210526,0.0,1.1111543981481482,2305.8756015307417,22.759659501760837
5,60.0,33.33463194444444,303.16356885299257,247.89473684210526,0.0,1.388942997685185,2313.2773478085974,30.16140577961566
6,75.0,41.66828993055559,374.03642980046686,247.89473684210526,0.0,1.6667315972222225,2320.506904703817,37.390962674829574
7,90.0,50.00194791666667,443.41073611908206,247.89473684210526,0.0,1.9445201967592596,2327.6116272203653,44.49568519137878
8,105.0,58.335605902777765,511.8370674180472,247.89473684210526,0.0,2.2223087962962964,2334.633542101322,51.51760007233883
9,120.0,66.66926388888888,579.6502364474117,247.89473684210526,9.349246523159212e-16,2.5000973958333335,2341.6010523873983,58.485110358409635
10,135.0,74.6185687120117,647.058178220995,248.0448118132033,0.15007497109800289,2.7750389349037903,2348.532352697303,65.41641066831501
11,150.0,82.55759755423091,714.1932201866967,247.89819217323748,0.0034553311321888942,3.047919025108284,2355.4391195704243,72.32317754143766
12,165.0,90.50677205114205,781.1415432683809,248.11998991869035,0.22525307658508598,3.31936136859021,2362.3289812851376,79.21303925615375
13,180.0,98.44580013094601,847.9604322253803,247.89819230267486,0.003455460569586677,3.589669033046282,2369.2070261046215,86.09108407563471
14,195.0,105.86311057547621,914.6886322017473,249.68151350888834,1.7867766667830973,3.856428392429779,2376.0767140099993,92.96077198101446
15,210.0,113.18933099880766,981.352731363066,249.73709093792436,1.8423540958191227,4.1199660358219745,2382.9404366169506,99.8244945879625
16,225.0,120.48509938820814,1047.971194593066,249.7004501654752,1.8057133233699234,4.380790964048101,2389.7998693748873,106.68392734590145
17,240.0,127.83259712801731,1114.5569718563124,249.202712785185,1.3079759430797844,4.639627350161834,2396.656198745905,113.54025671691379
18,255.0,134.48453911636878,1181.1192192288443,250.63705721649612,2.7423203743908635,4.894098443745917,2403.5102721977264,120.39433016873699
19,270.0,140.99512177269858,1247.6644542042745,250.68204869277383,2.787311850668583,5.144408240473732,2410.362699267143,127.24675723815744
20,285.0,147.53188358174626,1314.1973425448018,250.2659412501347,2.371204408029372,5.3913056438935225,2417.2139208256926,134.09797879670703
21,300.0,154.05995454481192,1380.7212406755714,251.25650316981947,3.3617663277141485,5.635273543514886,2424.0642572206275,140.94831519164174
22,315.0,160.01986297692517,1447.2385733222022,250.43658434255644,2.541847500451146,5.874926749306003,2430.9139421153213,147.79800008633484
23,330.0,165.89340874151003,1513.7510986356297,252.04186281954517,4.147125977439913,6.110591923554246,2437.7631464961983,154.64720446721242
24,345.0,171.67760641119597,1580.2600956346482,253.61741123012757,5.7226743880223045,6.342530264301731,2444.6119958308154,161.4960538018307
25,360.0,177.4504905450202,1646.766497520963,251.13813545411674,3.2433986120114913,6.571176199247548,2451.4605824059036,168.3446403769185
26,375.0,182.6687434477285,1713.270986987887,255.50546668804168,7.610729845936474,6.7954458004715885,2458.3089742443344,175.19303221534918
27,390.0,187.77712945857314,1779.774064666873,259.7945770392402,11.899840197134965,7.015562319577998,2465.15722157704,182.04127954805426
28,405.0,192.70846355933617,1846.2760984809124,255.38805133233873,7.493314490233476,7.231550044925321,2472.005361557349,188.88941952836416
29,420.0,197.65950078705035,1912.7773593593781,260.5971154703213,12.702378628215964,7.443898259480489,2478.8534217058223,195.7374796768368
30,435.0,202.15307613347807,1979.278047167822,256.4617064113686,8.56696956926331,7.651931827851226,2485.70142243432,202.58548040533444
31,450.0,206.6633005767297,2045.7783095896357,259.45109849891077,11.556361656805494,7.8561192126489185,2492.549378899902,209.4334368709177
32,465.0,211.05616402274828,2112.278255912791,258.80350134269503,10.908764500589756,8.056580235945724,2499.3973023694098,216.28136034042564
33,480.0,215.5112080453917,2178.7779671215317,262.0196030989808,14.124866256875455,8.25379378700032,2506.245201225802,223.1292591968173
34,495.0,219.74741338568003,2245.2775033001867,293.8744323616666,45.97969551956128,8.447612992213806,2513.0930817115836,229.97713968259777
35,510.0,223.87437516371062,2311.776909076438,262.2132562278453,14.318519385740082,8.638123149626557,2519.9409484788557,236.825006449871
36,525.0,228.00411598130427,2378.276217630827,267.59606482316156,19.701327981056345,8.825613185315902,2526.7888049968665,243.67286296788063
37,540.0,232.02956407884156,2444.775453655383,272.2246968707846,24.329960028679356,9.010141641425353,2533.636653854332,250.520711825346
38,555.0,235.59915315324747,2511.2746355402046,268.02445323023517,20.129716388129925,9.191127278419707,2540.484496983987,257.368554955001
39,570.0,238.94493146375012,2577.773776991987,261.70150277423136,13.806765932126076,9.368457142081908,2547.332335829514,264.21639380052784
40,585.0,242.37513921575322,2644.2728882334764,266.89876461992986,19.004027777824657,9.542556769576821,2554.180171469763,271.0642294407777
41,600.0,245.78692484553412,2710.771976893568,261.87037623245584,13.975639390350546,9.713637725079959,2561.028004711266,277.91206268228177
42,615.0,249.00248223380973,2777.271048668495,269.1903655937555,21.295628751650206,9.88160181671835,2567.875836157185,284.75989412820064
43,630.0,252.10682406087872,2843.770107813456,274.513450466038,26.618713623932745,10.046495144988354,2574.7236662587325,291.60772422974713
