,sim time,network-level occupancy,ped_network_level_occupancy,avg link tt,avg delay,stable-def-region
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,247.89473684210526,0.0,0.0
2,15.0,5.9808491762727565,0.0,247.89473684210526,0.0,0.3987232784181838
3,30.0,13.633338119654084,0.0,247.89473684210526,0.0,0.6538062431975613
4,45.0,21.766865741853575,0.0,247.89473684210526,0.0,0.9195789563951204
5,60.0,30.04116438184129,0.0,247.89473684210526,0.0,1.1903702903270286
6,75.0,38.35709644816356,0.0,247.89473684210526,0.0,1.4637241849038036
7,90.0,46.68543312635098,0.0,247.89473684210526,0.0,1.7384971888237362
8,105.0,55.01748670266572,0.0,247.89473684210526,0.0,2.014116511398114
9,120.0,63.35065915011507,0.0,247.89473684210526,0.0,2.290274107057642
10,135.0,71.42625628035067,0.0,247.97768193745245,0.08294509534718056,2.564882586127909
11,150.0,79.4212859522195,0.0,248.10138099538108,0.20664415327581165,2.8378695671965812
12,165.0,87.38810707993676,0.0,247.89586756574263,0.0011307236373804205,3.109506316117721
13,180.0,95.36171697418852,0.0,248.09801133655128,0.20327449444602108,3.3801681062978473
14,195.0,102.90616344181501,0.0,248.9320436992438,1.037306857138521,3.6478790901303975
15,210.0,110.23440852269374,0.0,248.93568177736057,1.0409449352552869,3.9122420528481965
16,225.0,117.47250457829553,0.0,252.46390446738846,4.569167625283154,4.17352593633963
17,240.0,124.6571943124807,0.0,250.29984763601433,2.4051107939090883,4.432085541620407
18,255.0,131.41841427810812,0.0,253.80327600105255,5.908539158947332,4.6867409579098265
19,270.0,137.7600895884224,0.0,255.3005323418747,7.40579549976946,4.936589014279363
20,285.0,143.92859266943088,0.0,256.4606458414247,8.56590899931949,5.18178114570126
21,300.0,150.01274997375302,0.0,255.63803197209205,7.7432951299868025,5.422734588328707
22,315.0,155.7271683211201,0.0,257.8946915879505,9.999954745845248,5.658881094665817
23,330.0,161.1102640587207,0.0,261.8319867996247,13.937249957519436,5.889872148116524
24,345.0,166.22722004047228,0.0,258.0089370643413,10.114200222236049,6.115608779475145
25,360.0,171.24072404843162,0.0,259.56555949615586,11.670822654050557,6.336460424909324
26,375.0,175.96719368252798,0.0,260.8861570989369,12.991420256831649,6.552247857733025
27,390.0,180.27323952004298,0.0,265.34033702187486,17.44560017976959,6.762477400435712
28,405.0,184.47585295076024,0.0,258.97841251068286,11.083675668577547,6.967511207705402
29,420.0,188.6303494848073,0.0,262.70442708886975,14.80969024676446,7.167791401441655
30,435.0,192.49187875187877,0.0,260.3172348832545,12.422498041149362,7.363136246798561
31,450.0,196.19542592046966,0.0,270.5199974438559,22.625260601750607,7.553688207284097
32,465.0,199.9371030099084,0.0,273.84623442199853,25.951497579893278,7.73999311029624
33,480.0,203.6355164844155,0.0,273.4881755179009,25.593438675795632,7.922358984942014
34,495.0,207.0596421075333,0.0,268.68863719899014,20.793900356884812,8.100589807837778
35,510.0,210.41079066684475,0.0,273.7282086858415,25.833471843736216,8.274907344208911
36,525.0,213.52035383600256,0.0,270.56450811068845,22.669771268583187,8.445186855966758
37,540.0,216.72511213980957,0.0,279.5257313346217,31.630994492516386,8.611941132448809
38,555.0,219.86022701547418,0.0,285.2555866435074,37.36084980140216,8.775330519887985
39,570.0,222.66354758239402,0.0,276.58368837435285,28.688951532247636,8.935038572140746
40,585.0,225.25777538448844,0.0,284.61298319108283,36.71824634897759,9.090991045307202
41,600.0,227.8806480959484,0.0,278.56577454392755,30.671037701822236,9.243517349334438
42,615.0,230.55102509013628,0.0,306.51345990479194,58.61872306268662,9.39294542226146
43,630.0,233.0773245280696,0.0,305.8211573929113,57.92642055080601,9.53926787177598
44,645.0,235.33971401128846,0.0,272.24325060305426,24.348513760948986,9.682292206558381
45,660.0,237.41457874106024,0.0,310.37677536122413,62.482038519118845,9.821959169653358
46,675.0,239.5006948432602,0.0,305.3395312494488,57.444794407343544,9.958509254539965
47,690.0,241.34431435096235,0.0,303.3625054288505,55.46776858674518,10.091794291544113
48,705.0,243.0973946564176,0.0,299.44775787441404,51.55302103230882,10.2218942635771
49,720.0,244.8888774696233,0.0,333.9611871748701,86.06645033276477,10.349061574015943
50,735.0,246.74616921707843,0.0,300.6432150202173,52.74847817811199,10.473565309535452
51,750.0,248.39637837715455,0.0,277.7152465272859,29.820509685180635,10.595289174514281
52,765.0,250.09163744777032,0.0,337.491326295798,89.59658945369274,10.714455579520893
53,780.0,251.4496629852938,0.0,295.6040853876616,47.70934854555622,10.830779719639455
54,795.0,252.95090351967102,0.0,286.51861072922145,38.623873887116254,10.944602622438298
55,810.0,254.61019392500359,0.0,288.6848565369019,40.790119694796715,11.056258368843766
56,825.0,256.10299675108485,0.0,289.6441726576406,41.749435815535456,11.165663364260043
57,840.0,257.6775738898108,0.0,286.2094126471275,38.31467580502233,11.273035535005173
58,855.0,259.176508163097,0.0,335.93376285178823,88.03902600968298,11.378393400663674
59,870.0,260.4594391340911,0.0,294.2175570667264,46.32282022462109,11.481592869771877
60,885.0,261.41406635730806,0.0,309.3799789157333,61.48524207362797,11.582372726620159
61,900.0,262.62835595244127,0.0,297.65484865234936,49.76011181024412,11.681142465568092
62,915.0,263.85879181774817,0.0,311.66594541886434,63.77120857675905,11.77801859106998
63,930.0,264.8368146346735,0.0,374.8751302357505,126.98039339364514,11.87282131770291
64,945.0,265.784974562495,0.0,319.2176187658696,71.32288192376433,11.965617777805504
65,960.0,266.88070205243463,0.0,341.1862348211942,93.29149797908887,12.056655731331912
